sequence_name,fluidic_port,flow_rate,volume,incubation_time,repeat,fill_tubing_with,include
Clear and Add Reagent,3,1000,1000,1,1,0,1
Add Reagent,3,1000,1000,1,1,5,1
Add Buffer,5,1000,1000,1,2,0,1
Add Buffer,5,1000,1000,1,1,3,1
Add Reagent,3,1000,1000,2,1,6,1
Wash with Constant Flow,6,1000,1000,0,1,0,1
Wash with Constant Flow,6,1000,1000,0,1,5,1
Wash with Constant Flow,5,1000,1000,0,1,0,1
